id_transacao,data_transacao,valor,tipo,categoria,descricao,conta_origem,conta_destino,status
TRX-601-2024,2024-01-15,1500.00,CREDITO,SALARIO,Salário janeiro,CC-12345,,CONFIRMADO
TRX-602-2024,2024-01-16,45.90,DEBITO,ALIMENTACAO,Alimentação semanal,CC-12345,,CONFIRMADO
TRX-603-2024,2024-01-17,150.00,DEBITO,TRANSPORTE,Combustível,CC-12345,,CONFIRMADO
TRX-604-2024,2024-01-18,800.00,DEBITO,MORADIA,Aluguel mês,CC-12345,,CONFIRMADO
TRX-605-2024,2024-01-19,120.50,DEBITO,SAUDE,Saúde e farmácia,CC-12345,,CONFIRMADO
TRX-606-2024,2024-01-20,250.00,DEBITO,EDUCACAO,Educação online,CC-12345,,CONFIRMADO
TRX-607-2024,2024-01-21,89.90,DEBITO,LAZER,Diversão fim semana,CC-12345,,CONFIRMADO
TRX-608-2024,2024-01-22,500.00,DEBITO,INVESTIMENTO,Aplicação CDB,CC-12345,INV-98765,CONFIRMADO
TRX-609-2024,2024-01-23,200.00,DEBITO,TRANSFERENCIA,Transferência PIX,CC-12345,CC-67890,PENDENTE
TRX-610-2024,2024-01-24,35.00,DEBITO,OUTROS,Manutenção conta,CC-12345,,CONFIRMADO
TRX-611-2024,2024-01-25,2500.00,CREDITO,SALARIO,Bônus trimestral,CC-12345,,CONFIRMADO
TRX-612-2024,2024-01-26,67.80,DEBITO,ALIMENTACAO,Refeição restaurante,CC-12345,,CONFIRMADO
TRX-613-2024,2024-01-27,220.00,DEBITO,TRANSPORTE,Manutenção veículo,CC-12345,,CONFIRMADO
TRX-614-2024,2024-01-28,450.00,DEBITO,MORADIA,Condomínio,CC-12345,,CONFIRMADO
TRX-615-2024,2024-01-29,85.00,DEBITO,SAUDE,Consulta médica,CC-12345,,CANCELADO
