id_transacao,data_transacao,valor,tipo,categoria,descricao,conta_origem,conta_destino,status
TRX-401-2024,15/01/2024,1500.00,CREDITO,SALARIO,Salario janeiro,CC-12345,,CONFIRMADO
TRX-402-2024,16/01/2024,45.90,DEBITO,ALIMENTACAO,Supermercado,CC-12345,,CONFIRMADO
TRX-403-2024,17-01-2024,150.00,DEBITO,TRANSPORTE,Combustivel,CC-12345,,CONFIRMADO
TRX-404-2024,18/01/2024,800.00,DEBITO,MORADIA,Aluguel parcial,CC-12345,,CONFIRMADO
TRX-405-2024,19-01-2024,120.50,DEBITO,SAUDE,Farmacia,CC-12345,,CONFIRMADO
TRX-406-2024,20/01/2024,250.00,DEBITO,EDUCACAO,Curso online,CC-12345,,CONFIRMADO
TRX-407-2024,21/01/2024,89.90,DEBITO,LAZER,Cinema e jantar,CC-12345,,CONFIRMADO
TRX-408-2024,22-01-2024,500.00,DEBITO,INVESTIMENTO,Aporte mensal,CC-12345,INV-98765,CONFIRMADO
TRX-409-2024,23/01/2024,200.00,DEBITO,TRANSFERENCIA,Transferencia PIX,CC-12345,CC-67890,PENDENTE
TRX-410-2024,24/01/2024,35.00,DEBITO,OUTROS,Taxa bancaria,CC-12345,,CONFIRMADO
TRX-411-2024,25-01-2024,2500.00,CREDITO,SALARIO,Bonus,CC-12345,,CONFIRMADO
TRX-412-2024,26/01/2024,67.80,DEBITO,ALIMENTACAO,Restaurante,CC-12345,,CONFIRMADO
TRX-413-2024,27/01/2024,220.00,DEBITO,TRANSPORTE,Manutencao carro,CC-12345,,CONFIRMADO
TRX-414-2024,28-01-2024,450.00,DEBITO,MORADIA,Condominio,CC-12345,,CONFIRMADO
TRX-415-2024,29/01/2024,85.00,DEBITO,SAUDE,Consulta medica,CC-12345,,CANCELADO
