id_transacao,data_transacao,valor,tipo,categoria,descricao,conta_origem,conta_destino,status
TRX-501-2024,2024-01-15,"R$ 1.500,00",CREDITO,SALARIO,Salario janeiro,CC-12345,,CONFIRMADO
TRX-502-2024,2024-01-16,"45,90",DEBITO,ALIMENTACAO,Supermercado,CC-12345,,CONFIRMADO
TRX-503-2024,2024-01-17,"R$ 150,00",DEBITO,TRANSPORTE,Combustivel,CC-12345,,CONFIRMADO
TRX-504-2024,2024-01-18,"800,00",DEBITO,MORADIA,Aluguel parcial,CC-12345,,CONFIRMADO
TRX-505-2024,2024-01-19,"R$ 120,50",DEBITO,SAUDE,Farmacia,CC-12345,,CONFIRMADO
TRX-506-2024,2024-01-20,"250,00",DEBITO,EDUCACAO,Curso online,CC-12345,,CONFIRMADO
TRX-507-2024,2024-01-21,"R$ 89,90",DEBITO,LAZER,Cinema e jantar,CC-12345,,CONFIRMADO
TRX-508-2024,2024-01-22,"R$ 500,00",DEBITO,INVESTIMENTO,Aporte mensal,CC-12345,INV-98765,CONFIRMADO
TRX-509-2024,2024-01-23,"200,00",DEBITO,TRANSFERENCIA,Transferencia PIX,CC-12345,CC-67890,PENDENTE
TRX-510-2024,2024-01-24,"R$ 35,00",DEBITO,OUTROS,Taxa bancaria,CC-12345,,CONFIRMADO
TRX-511-2024,2024-01-25,"R$ 2.500,00",CREDITO,SALARIO,Bonus,CC-12345,,CONFIRMADO
TRX-512-2024,2024-01-26,"67,80",DEBITO,ALIMENTACAO,Restaurante,CC-12345,,CONFIRMADO
TRX-513-2024,2024-01-27,"R$ 220,00",DEBITO,TRANSPORTE,Manutencao carro,CC-12345,,CONFIRMADO
TRX-514-2024,2024-01-28,"R$ 450,00",DEBITO,MORADIA,Condominio,CC-12345,,CONFIRMADO
TRX-515-2024,2024-01-29,"85,00",DEBITO,SAUDE,Consulta medica,CC-12345,,CANCELADO
