id_transacao,data_transacao,valor,tipo,categoria,descricao,conta_origem,conta_destino,status
TRX-001-2024,2024-01-15,1500.00,CREDITO,SALARIO,Salario janeiro,CC-12345,,CONFIRMADO
TRX-002-2024,2024-01-16,45.90,DEBITO,ALIMENTACAO,Supermercado,CC-12345,,CONFIRMADO
TRX-003-2024,2024-01-17,150.00,DEBITO,TRANSPORTE,Combustivel,CC-12345,,CONFIRMADO
TRX-004-2024,2024-01-18,800.00,DEBITO,MORADIA,Aluguel parcial,CC-12345,,CONFIRMADO
TRX-005-2024,2024-01-19,120.50,DEBITO,SAUDE,Farmacia,CC-12345,,CONFIRMADO
TRX-006-2024,2024-01-20,250.00,DEBITO,EDUCACAO,Curso online,CC-12345,,CONFIRMADO
TRX-007-2024,2024-01-21,89.90,DEBITO,LAZER,Cinema e jantar,CC-12345,,CONFIRMADO
TRX-008-2024,2024-01-22,500.00,DEBITO,INVESTIMENTO,Aporte mensal,CC-12345,INV-98765,CONFIRMADO
TRX-009-2024,2024-01-23,200.00,DEBITO,TRANSFERENCIA,Transferencia PIX,CC-12345,CC-67890,CONFIRMADO
TRX-010-2024,2024-01-24,35.00,DEBITO,OUTROS,Taxa bancaria,CC-12345,,CONFIRMADO
TRX-011-2024,2024-01-25,2500.00,CREDITO,SALARIO,Bonus,CC-12345,,CONFIRMADO
TRX-012-2024,2024-01-26,67.80,DEBITO,ALIMENTACAO,Restaurante,CC-12345,,CONFIRMADO
TRX-013-2024,2024-01-27,220.00,DEBITO,TRANSPORTE,Manutencao carro,CC-12345,,CONFIRMADO
TRX-014-2024,2024-01-28,450.00,DEBITO,MORADIA,Condominio,CC-12345,,CONFIRMADO
TRX-015-2024,2024-01-29,85.00,DEBITO,SAUDE,Consulta medica,CC-12345,,CONFIRMADO
TRX-016-2024,2024-01-30,180.00,DEBITO,EDUCACAO,Livros,CC-12345,,CONFIRMADO
TRX-017-2024,2024-01-31,55.00,DEBITO,LAZER,Streaming,CC-12345,,CONFIRMADO
TRX-018-2024,2024-02-01,1000.00,DEBITO,INVESTIMENTO,Renda fixa,CC-12345,INV-98765,CONFIRMADO
TRX-019-2024,2024-02-02,150.00,CREDITO,TRANSFERENCIA,Recebido PIX,CC-67890,CC-12345,CONFIRMADO
TRX-020-2024,2024-02-03,25.00,DEBITO,OUTROS,Estacionamento,CC-12345,,CONFIRMADO
TRX-021-2024,2024-02-04,3200.00,CREDITO,SALARIO,Salario fevereiro,CC-12345,,CONFIRMADO
TRX-022-2024,2024-02-05,92.50,DEBITO,ALIMENTACAO,Delivery,CC-12345,,CONFIRMADO
TRX-023-2024,2024-02-06,280.00,DEBITO,TRANSPORTE,Uber mensal,CC-12345,,CONFIRMADO
TRX-024-2024,2024-02-07,1200.00,DEBITO,MORADIA,Aluguel,CC-12345,,CONFIRMADO
TRX-025-2024,2024-02-08,340.00,DEBITO,SAUDE,Plano de saude,CC-12345,,CONFIRMADO
TRX-026-2024,2024-02-09,420.00,DEBITO,EDUCACAO,Mensalidade curso,CC-12345,,CONFIRMADO
TRX-027-2024,2024-02-10,75.00,DEBITO,LAZER,Show,CC-12345,,CONFIRMADO
TRX-028-2024,2024-02-11,800.00,DEBITO,INVESTIMENTO,Acoes,CC-12345,INV-11111,CONFIRMADO
TRX-029-2024,2024-02-12,300.00,DEBITO,TRANSFERENCIA,Emprestimo amigo,CC-12345,CC-99999,PENDENTE
TRX-030-2024,2024-02-13,18.90,DEBITO,OUTROS,Papelaria,CC-12345,,CONFIRMADO
TRX-031-2024,2024-02-14,500.00,CREDITO,OUTROS,Reembolso,CC-12345,,CONFIRMADO
TRX-032-2024,2024-02-15,145.00,DEBITO,ALIMENTACAO,Mercado,CC-12345,,CONFIRMADO
TRX-033-2024,2024-02-16,95.00,DEBITO,TRANSPORTE,Pedagio,CC-12345,,CONFIRMADO
TRX-034-2024,2024-02-17,650.00,DEBITO,MORADIA,Energia e agua,CC-12345,,CONFIRMADO
